codice,descrizione,quantita,
8402506Y0210,Manopola cofano anteriore destra,1,MY23 MY24
8402507Y0210,Base clip in acciaio cofano anteriore,2,MY23 MY24
S27348004,Vite autofilettante testa larga semitonda a croce,2,MY23 MY22 MY22.5 MY24
8403111-Y01D,Assieme saldatura parafango sinistro,1,MY23 MY22 MY22.5
8403102-Y01,Pannello inferiore finestrino triangolare sinistro,1,MY23 MY22 MY22.5 MY24
8403121-Y01D,Assieme saldatura parafango destro,1,MY23 MY22 MY22.5
8403202-Y01,Pannello inferiore finestrino triangolare destro,1,MY23 MY22 MY22.5 MY24
4121030-Y01,Assieme luce combinata anteriore sinistra (parte spessa luci diurne),1,MY23 MY22 MY22.5
4121040-Y01,Assieme luce combinata anteriore destra (parte spessa luci diurne),1,MY23 MY22 MY22.5
4108010Y0205,Assieme luce targa,2,MY23 MY24
4123010Y0205,Luce plafoniera,1,MY23 MY24
4123020Y0205,Schermo plafoniera,1,MY23 MY24
S21405002,Vite testa a croce M5 16,2,MY23 MY22 MY22.5 MY24
4133010-Y01,Assieme luce combinata posteriore sinistra,1,MY23 MY22 MY22.5
4133020-Y01,Assieme luce combinata posteriore destra,1,MY23 MY22 MY22.5
BNJ-0270,Fermaglio luce posteriore,4,MY23 MY24
5810010-Y01,Assieme cintura di sicurezza sinistra,1,MY23 MY22 MY22.5 MY24
5810020-Y01,Assieme cintura di sicurezza destra,1,MY23 MY22 MY22.5 MY24
5810011-Y01,Fibbia cintura sinistra,1,MY23 MY22 MY22.5 MY24
5810021-Y01,Fibbia cintura destra,1,MY23 MY22 MY22.5 MY24
6101710Y0210,Assieme guida anteriore sinistra porta,1,MY23 MY24
6101720Y0210,Assieme guida anteriore destra porta,1,MY23 MY24
6101750Y0210,Assieme rivestimento guida posteriore sinistra porta,1,MY23 MY24
6107127Y0210,Canale fango posteriore sinistra porta,1,MY23 MY24
6101733Y0210,Blocco montaggio finestrino triangolare posteriore sinistro,1,MY23 MY24
6101760Y0210,Assieme rivestimento guida posteriore destra porta,1,MY23 MY24
6107128Y0210,Canale fango posteriore destra porta,1,MY23 MY24
6101734Y0210,Blocco montaggio finestrino triangolare posteriore destro,1,MY23 MY24
6101901Y0205,Assieme membrana impermeabile superiore porta sinistra,1,MY23 MY22 MY22.5 MY24
6101902Y0205,Assieme membrana impermeabile superiore porta destra,1,MY23 MY22 MY22.5 MY24
6101903Y0205,Assieme membrana impermeabile inferiore porte sinistra e destra,2,MY23 MY22 MY22.5 MY24
6104110Y0210,Assieme alzacristalli elettrico porta sinistra,1,MY23
6104120Y0210,Assieme alzacristalli elettrico porta destra,1,MY23
6105101Y0205,Assieme serratura elettronica porta sinistra,1,MY23 MY24
6105103Y0205,Asta serratura elettronica porta sinistra,1,MY23 MY24
6105105Y0205,Asta serratura elettronica cilindro porta sinistra,1,MY23 MY24
6105107Y0205,Scrocco serratura elettronica porta,1,MY23 MY24
6105111Y0205,Cavo serratura elettronica porta sinistra,2,MY23 MY24
S25808001,Vite testa svasata a croce con rondella dentata esterna,4,MY23 MY24
S99006121,Vite testa svasata a croce con rondella conica,6,MY23 MY24
6105102Y0205,Assieme serratura elettronica porta destra,1,MY23 MY24
6105104Y0205,Asta serratura elettronica porta destra,1,MY23 MY24
5606011-Y01,Corpo serratura elettrica portellone,1,MY23 MY22 MY22.5
6105107-Y01,Scrocco serratura elettronica porta,1,MY23 MY22 MY22.5
5606032-Y01,Maniglia serratura copertura porta di ricarica,1,MY23 MY22 MY22.5
5606033-Y01,Cavo serratura copertura porta di ricarica,1,MY23 MY22 MY22.5
5606034-Y01,Fascetta fermacavo Ø7,3,MY23 MY22 MY22.5
5606410Y0210,Assieme serratura scatola batteria,2,MY23 MY24
5606420Y0210,Assieme gancio serratura scatola batteria,2,MY23 MY24
5606600Y0210,Vite flangiata recess Bobes con nichelatura nera M6 1.0,4,MY23 MY24
6105330Y0205,Maniglia interna sinistra,1,MY23 MY22 MY22.5 MY24
6105340Y0205,Maniglia interna destra,1,MY23 MY22 MY22.5 MY24
6105510Y0205D,Maniglia esterna porta sinistra,1,MY23 MY22 MY22.5 MY24
6105520Y0205D,Maniglia esterna porta destra,1,MY23 MY22 MY22.5 MY24
6307111Y0210,Guarnizione portellone,1,MY23 MY24
6307113-Y01,Guarnizione superiore portellone,1,MY23 MY22 MY22.5
6307114Y0210,Guarnizione superiore portellone,1,MY23 MY22
6107117Y0210,Guarnizione esterna vetro porta destra,1,MY23
6107121Y0210,Guarnizione interna vetro porta sinistra,1,MY23 MY24
6107122Y0210,Guarnizione interna vetro porta destra,1,MY23 MY24
6107111Y0210,Guarnizione apertura porta sinistra anteriore,1,MY23 MY24
6107112Y0210,Guarnizione apertura porta destra anteriore,1,MY23 MY24
6107113Y0210,Guarnizione superiore apertura porta sinistra anteriore,1,MY23 MY24
6107114Y0210,Guarnizione superiore apertura porta destra anteriore,1,MY23 MY24
6107115Y0210,Angolo giunto canalina fango porta sinistra anteriore,1,MY23 MY24
6107116Y0210,Angolo giunto canalina fango porta destra anteriore,1,MY23 MY24
5206011Y0210,Guarnizione parabrezza anteriore,1,MY23 MY24
5701211Y0210,Guarnizione tetto apribile sinistra,1,MY23
5701212Y0210,Guarnizione tetto apribile destra,1,MY23
6107131Y0210,Guarnizione finestrino triangolare anteriore sinistro,1,MY23 MY24
6107132Y0210,Guarnizione finestrino triangolare anteriore destro,1,MY23 MY24
6107135Y0210,Guarnizione scatola batteria,1,MY23 MY24
6107137Y0210,Rondella tenuta tetto,1,MY23 MY22 MY22.5 MY24
6309110-Y01,Molla pneumatica,2,MY23 MY22 MY22.5
6309101-Y01,Staffa montaggio barra pneumatica portellone sinistra,1,MY23 MY22 MY22.5
6309102-Y01,Staffa montaggio barra pneumatica portellone destra,1,MY23 MY22 MY22.5
6309103-Y01,Perno sferico molla pneumatica,2,MY23 MY22 MY22.5
6900100Y0210-Z001,Assieme sedile anteriore sinistro,1,MY23 MY22
6900200Y0210-Z001,Assieme sedile anteriore destro,1,MY23 MY22
6900300Y0210,Copertura staffa sedile sinistra,2,MY23 MY22 MY24
6900400Y0210,Copertura staffa sedile destra,2,MY23 MY22 MY24
S18510002,Bullone esagonale con flangia,8,MY23 MY24
8200101-Y01,Tampone gomma sollevatore,4,MY23 MY22 MY22.5 MY24
S40210001,Rondella grande,4,MY23 MY22 MY22.5
8200105Y0210,Tubo troppo pieno anteriore,1,MY23 MY22 MY22.5 MY24
S67325001,Fascetta elastica in acciaio,1,MY23 MY22 MY22.5 MY24
ZDJ155 6.4,Fascetta fermacavo Ø7,1,MY23
8201010-Y01,Specchietto retrovisore interno,1,MY23 MY22 MY22.5
8202010Y0210D,Assieme specchietto retrovisore esterno sinistro,1,MY23 MY24
8202011Y0210D,Assieme specchietto retrovisore esterno sinistro,1,MY23 MY24
8202012Y0210,Lente specchietto retrovisore esterno sinistro,1,MY23 MY22 MY22.5 MY24
8202020Y0210D,Assieme specchietto retrovisore esterno destro,1,MY23 MY24
8202021Y0210D,Assieme specchietto retrovisore esterno destro,1,MY23 MY24
8202022Y0210,Lente specchietto retrovisore esterno destro,1,MY23 MY22 MY22.5 MY24
S23606002,Vite testa tonda a croce con rondella piana e rondella elastica,6,MY23
8204010Y0205,Assieme aletta parasole,2,MY23 MY22 MY22.5
8204020Y0205,Piastra base aletta parasole,2,MY23 MY22 MY22.5 MY24
S21406001,Vite testa tonda a croce,4,MY23 MY22 MY24
8208010-Y01,Catadiottro posteriore sinistro,1,MY23 MY22 MY22.5
8208020-Y01,Catadiottro posteriore destro,1,MY23 MY22 MY22.5
8208030-Y01,Catadiottro laterale,2,MY23 MY22 MY22.5 MY24
5010010Y0210,Assieme scocca grezza,1,MY23
5101210Y0210,Assieme telaio vano anteriore,1,MY23
5101170Y0210,Assieme telaio pavimento intermedio,1,MY23
5101230Y0210,Assieme telaio pavimento posteriore,1,MY23
5101130-Y01,Assieme supporto molla sospensione anteriore sinistra,1,MY23 MY22 MY22.5
5101140-Y01,Assieme supporto molla sospensione anteriore destra,1,MY23 MY22 MY22.5
5301000Y0210,Assieme parete anteriore,1,MY23
5101750Y0210,Assieme sedile,1,MY23
5101940-Y01,Assieme pavimento posteriore,1,MY23 MY22 MY22.5
5601111-Y01,Assieme pannello esterno parete posteriore,1,MY23
5401350-Y01,Componente pannello interno montante A sinistro,1,MY23 MY22 MY22.5 MY24
5401360-Y01,Componente pannello interno montante A destro,1,MY23 MY22 MY22.5 MY24
5401230-Y01,Assieme pannello interno soglia sinistra,1,MY23 MY22 MY22.5 MY24
5401240-Y01,Assieme pannello interno soglia destra,1,MY23 MY22 MY22.5
5401030-Y01,Assieme pannello interno parete laterale sinistra,1,MY23 MY22 MY22.5 MY24
5401040-Y01,Assieme pannello interno parete laterale destra,1,MY23 MY22 MY22.5 MY24
5401010-Y01,Assieme parete laterale sinistra,1,MY23 MY22 MY22.5
5401020-Y01,Assieme parete laterale destra,1,MY23 MY22 MY22.5
5701010-Y01,Assieme copertura tetto,1,MY23 MY22 MY22.5
5101270Y0205,Assieme staffa montaggio due?in?uno,1,MY23 MY22.5
5101273Y0210,Staffa montaggio condensatore,2,MY23
5101901-Y01,Pannello accesso,1,MY23 MY22 MY22.5
5306147-Y01,Barra spugna (W12×8),2,MY23
5301811-Y01,Tirante batteria,2,MY23 MY22 MY22.5
5301813-Y01,Piastra di pressione,1,MY23 MY22 MY22.5
5101467-Y01,Piastra montaggio interruttore power?off,1,MY23 MY22 MY22.5
5103520-Y01,Assieme staffa montaggio intermedia paraurti posteriore,1,MY23 MY22 MY22.5
5101187Y0210,Componente staffa montaggio MCU I,1,MY23 MY24
5101191Y0210,Componente staffa montaggio MCU II,1,MY23 MY24
6101100Y0210,Assieme porta anteriore sinistra,1,MY23 MY24
6106010Y0210,Cerniera superiore porta laterale,1,MY23 MY24
6106030Y0210,Cerniera inferiore porta laterale,1,MY23 MY24
S18608010,Bullone esagonale con flangia,8,MY23 MY22 MY22.5 MY24
6101200Y0210,Assieme porta anteriore destra,1,MY23 MY24
6301591-Y01,Piastra montaggio serratura portellone,1,MY23 MY22 MY22.5
6301552-Y01,Piastra montaggio tampone portellone destra,1,MY23 MY22 MY22.5
6301551-Y01,Piastra montaggio tampone portellone sinistra,1,MY23 MY22 MY22.5
6306310Y0205,Cerniera portellone,2,MY23 MY22.5
6301711-Y01,Assieme traversa superiore telaio interno portellone,1,MY23
5401170-Y01,Staffa montaggio componente trave tubolare sinistra,1,MY23 MY22 MY22.5 MY24
5401180-Y01,Staffa montaggio componente trave tubolare destra,1,MY23 MY22 MY22.5 MY24
5133990Y0211,Traversa posteriore scatola batteria,1,MY23 MY24
S18510003,Bullone testa esagonale con flangia,2,MY23 MY24
5133910Y0210,Assieme saldatura corpo batteria,1,MY23
5133992Y0210,Piastra copertura anteriore scatola batteria,1,MY23
S14604001,Bullone testa esagonale con rondella elastica e rondella piana,12,MY23 MY24
5301710Y0210,Assieme trave cruscotto,1,MY23
5301710Y0211,Assieme trave cruscotto,1,MY23 MY24
5109101Y0210,Corpo tappeto,1,MY23
5109103-Y01,Pannello copertura bagagliaio,1,MY23 MY22 MY22.5
5109104-Y01,Tampone copertura bagagliaio,4,MY23 MY22 MY22.5
5109109-Y01,Tampone copertura bagagliaio,2,MY23 MY22 MY22.5
5109105-Y01,Tappetino poggiapiedi,1,MY23 MY22 MY22.5
5305011-Y01,Corpo cruscotto ausiliario,1,MY23 MY22 MY22.5
5305016-Y01,Pannello copertura anteriore cruscotto ausiliario,1,MY23 MY22 MY22.5
5305017-Y01D,Pannello cruscotto ausiliario,1,MY23 MY22 MY22.5
5305019-Y01,Pannello copertura posteriore cruscotto ausiliario,1,MY23 MY22 MY22.5
5305020-Y01,Assieme struttura maniglione,1,MY23 MY22 MY22.5
5305028-Y01D,Pannello rifinitura maniglione sinistro,1,MY23 MY22
5305029-Y01D,Pannello rifinitura maniglione destro,1,MY23 MY22
5305027-Y01,Pannello inferiore maniglione,1,MY23 MY22 MY22.5
5305033-Y01,Fermaglio maschio meccanismo blocco maniglione,1,MY23 MY22
5305012-Y01,Cappuccio vite,4,MY23 MY22 MY22.5 MY24
5305032-Y01,Fermaglio femmina meccanismo blocco maniglione,1,MY23 MY22 MY22.5
5305013Y0220,Tampone gomma 1,1,MY23 MY22 MY22.5
5305014Y0220,Tampone gomma 2,1,MY23 MY22 MY22.5
5305015Y0220,Tampone gomma 3,1,MY23 MY22 MY22.5
5305031-Y01,Cerniera maniglione,1,MY23 MY22 MY22.5
5306151-Y01D,Mascherina strumenti,1,MY23 MY22 MY22.5
5306139-Y01,Bocchetta aria destra,1,MY23 MY22 MY22.5
5306161-Y01,Pannello controllo A/C telecomando,1,MY23 MY22 MY22.5 MY24
5306200Y0205D,Assieme bocchetta aria centrale,1,MY23 MY22 MY22.5 MY24
5306100Y0210,Assieme saldatura corpo cruscotto superiore,1,MY23
5306121-Y01,Bocchetta sbrinatore sinistra,1,MY23 MY22 MY22.5 MY24
5306123-Y01,Deflettore sbrinatore sinistro,1,MY23 MY22 MY22.5 MY24
5306122-Y01,Bocchetta sbrinatore destra,1,MY23 MY22 MY22.5 MY24
5306124-Y01,Deflettore sbrinatore destro,1,MY23 MY22 MY22.5 MY24
5306134-Y01,Vano portaoggetti cruscotto,1,MY23 MY22 MY22.5
5306133-Y01,Corpo cruscotto inferiore,1,MY23 MY22 MY22.5
5306102-Y01,Copertura altoparlante,2,MY23 MY22 MY22.5
3774011Y0210,Protezione sterzo superiore,1,MY23 MY24
3774013Y0210,Protezione sterzo inferiore,1,MY23 MY24
5402031-Y01,Pannello protezione superiore interno montante A sinistro,1,MY23 MY22 MY22.5 MY24
5402041-Y01,Pannello protezione superiore interno montante A destro,1,MY23 MY22 MY22.5 MY24
5402131-Y01,Pannello protezione interno rifinitura finestrino anteriore,1,MY23 MY22 MY22.5 MY24
5402051-Y01,Pannello protezione inferiore interno montante A sinistro,1,MY23 MY22 MY22.5 MY24
5402053-Y01,Copertura apertura riparazione inferiore montante A sinistro,1,MY23 MY22 MY22.5 MY24
5402061-Y01,Pannello protezione inferiore interno montante A destro,1,MY23 MY22 MY22.5 MY24
5402063-Y01,Copertura apertura riparazione inferiore montante A destro,1,MY23 MY22 MY22.5 MY24
5402011-Y01,Pannello protezione interno parete anteriore sinistra,1,MY23 MY22 MY22.5
5402021Y0210,Pannello protezione interno parete anteriore destra,1,MY23 MY24
ZH1506,Fermaglio plastico a V,2,MY23 MY24
5402111-Y01,Striscia rifinitura interna soglia sinistra,1,MY23 MY22 MY22.5 MY24
5402121-Y01,Striscia rifinitura interna soglia destra,1,MY23 MY22 MY22.5 MY24
5402071-Y01,Pannello protezione interno parete posteriore sinistra,1,MY23 MY22 MY22.5 MY24
5402081-Y01,Pannello protezione interno parete posteriore destra,1,MY23 MY22 MY22.5 MY24
5402141-Y01,Pannello protezione interno soglia posteriore,1,MY23 MY22 MY22.5 MY24
5402091-Y01,Pannello protezione interno parete laterale posteriore sinistra inferiore,1,MY23 MY22 MY22.5 MY24
5402101-Y01,Pannello protezione interno parete laterale posteriore destra inferiore,1,MY23 MY22 MY22.5 MY24
5402128-Y01,Piastra copertura apertura di servizio sinistra,1,MY23 MY22 MY22.5 MY24
5402129-Y01,Piastra copertura apertura di servizio destra,1,MY23 MY22 MY22.5 MY24
5402133-Y01,Poggiapiedi sinistro,1,MY23 MY22 MY22.5
5402147-Y01,Cappuccio vite,3,MY23 MY22 MY22.5
5703011-Y01,Rivestimento interno tetto,1,MY23 MY22 MY22.5
ZH1610,Fibbia rivestimento tetto,13,MY23 MY22 MY22.5 MY24
5703021-Y01,Copertura apertura servizio cerniera sinistra portellone,1,MY23 MY22 MY22.5
5703022-Y01,Copertura apertura servizio cerniera destra portellone,1,MY23 MY22 MY22.5
6102011Y0210,Pannello interno porta sinistra,1,MY23 MY24
6102032-Y01,Piastra montaggio cinghia di trazione sinistra,1,MY23 MY22 MY22.5 MY24
6102033-Y01,Cinghia di trazione porta,1,MY23 MY22 MY22.5 MY24
6102031-Y01D,Pannello rifinitura intermedio sinistro,1,MY23 MY22 MY22.5
ZH850,Fibbia a C,2,MY23 MY22 MY22.5 MY24
6102072Y0210,Pannello rifinitura interno guida anteriore sinistra,1,MY23 MY24
6102021Y0210,Pannello interno porta destra,1,MY23
6102042-Y01,Piastra montaggio cinghia di trazione destra,1,MY23 MY22 MY22.5 MY24
6102041-Y01D,Pannello rifinitura intermedio destro,1,MY23 MY22 MY22.5
6102082Y0210,Pannello rifinitura interno guida anteriore destra,1,MY23 MY24
6102086-Y01,Copertura rifinitura cerniera superiore porta sinistra,1,MY23 MY22 MY22.5 MY24
6102089-Y01,Copertura rifinitura cerniera superiore porta destra,1,MY23 MY22 MY22.5 MY24
6102087-Y01,Copertura rifinitura cerniera inferiore porta sinistra,1,MY23 MY22 MY22.5 MY24
6102088-Y01,Copertura rifinitura cerniera inferiore porta destra,1,MY23 MY22 MY22.5 MY24
6302011-Y01,Portellone,1,MY23 MY22 MY22.5
6302016-Y01,Copertura serratura rifinitura,1,MY23 MY22 MY22.5
6302021-Y01,Piastra supporto vetro portellone sinistra,1,MY23 MY22 MY22.5
6302022-Y01,Piastra supporto vetro portellone destra,1,MY23 MY22 MY22.5
6302015-Y01,Copertura apertura serratura,1,MY23 MY22 MY22.5
6302017-Y01D,Scudo spoiler superiore,1,MY23 MY22 MY22.5
5306149Y0210,Nastro biadesivo (W10mm T0.5mm),2,MY23 MY22 MY22.5
6302018-Y01D,Scudo spoiler inferiore,1,MY23 MY22 MY22.5 MY24
5107001-Y01,Tampone portellone,2,MY23 MY22 MY22.5
8200110-Y01,Assieme portapacchi posteriore,1,MY23 MY22
8200111-Y01,Portapacchi posteriore,1,MY23 MY22 MY22.5 MY24
8200113-Y01,Piastra base cerniera sinistra,1,MY23 MY22 MY22.5 MY24
8200114-Y01,Piastra interna cerniera sinistra,1,MY23 MY22 MY22.5 MY24
8200115-Y01,Piastra base cerniera destra,1,MY23 MY22 MY22.5 MY24
8200116-Y01,Pannello interno cerniera destra,1,MY23 MY22 MY22.5 MY24
8200117-Y01,Blocco limitatore portapacchi posteriore,2,MY23 MY22 MY22.5 MY24
1108001-Y01,Sistema accelerazione,1,MY22
1108010-Y01,Pedale acceleratore elettrico,1,MY22 MY22.5
Q1860625,Bullone esagonale con flangia,3,MY22 MY22.5
2101000-Y01,Assieme batteria di potenza,1,MY22
2101000-Y0201,Assieme batteria di potenza (con serratura batteria) (versione ENI),1,MY22
2101010-Y01,Scatola batteria di potenza,1,MY22
2101010Y0201,Scatola batteria di potenza,1,MY22
2101013-Y01,Boccola anti?attrito,6,MY22 MY22.5
2101017-Y01,Bullone antifurto scatola batteria,2,MY22 MY22.5
2101018-Y01,Piastra copertura scatola batteria,1,MY22 MY22.5
2101018Y0201,Piastra copertura scatola batteria (con serratura batteria) (versione ENI),1,MY22
2101019-Y01,Cablaggio positivo batteria,1,MY22 MY22.5
210101A-Y01,Cablaggio negativo batteria,1,MY22
210101C-Y01,Cablaggio comunicazione scatola batteria,1,MY22
Q174B0614T1F,Bullone esagonale esterno M6*14 con rondella elastica e rondella piana,6,MY22 MY22.5
Q174B0425T1F,Bullone esagonale esterno M4*25 con rondella elastica e rondella piana,12,MY22 MY22.5
Q174B0410T1F,Bullone esagonale esterno M4*10 con rondella elastica e rondella piana,8,MY22 MY22.5
5306142-Y01,Striscia spugna (W12*T5),1,MY22 MY22.5
Q1461025,Bullone esagonale M10*25 con rondella elastica e rondella piana,4,MY22
2101020-Y01,Modulo batteria di potenza,3,MY22
2101011-Y01,Unità campionamento batteria (BSU),1,MY22
2109013-Y01,Staffa montaggio BSU sinistra,1,MY22
2109014-Y01,Staffa montaggio BSU destra,1,MY22
2101030-Y01,Presa speciale modalità commutazione,1,MY22
2101030Y0201,Assieme scatola batteria (versione ENI),1,MY22
Q174B0530T1F,Bullone esagonale esterno M5*30 con rondella elastica e rondella piana,4,MY22
Q174B0310T1F,Bullone esagonale esterno M3*10 con rondella elastica e rondella piana,3,MY22
2109010-Y01,Scatola controllo sistema di potenza (ex HV box),1,MY22
2109011-Y01,Involucro HV box,1,MY22 MY22.5
2109211-Y01,Coperchio HV box,1,MY22 MY22.5
2109012-Y01,Sensore corrente,1,MY22
Q174B0416T1F,Bullone esagonale esterno M4*16 con rondella elastica e rondella piana,1,MY22 MY22.5
Q304B04,Dado esagonale esterno,1,MY22 MY22.5
2101012-Y01,Scatola campionamento HV,1,MY22
Q174B0414T1F,Bullone esagonale esterno M4*14 con rondella elastica e rondella piana,4,MY22 MY22.5
Q32004,Dado esagonale con flangia,4,MY22 MY22.5
2109015-Y01,Relè 150A,1,MY22 MY22.5
Q174B0620T1F,Bullone esagonale esterno M6*20 con rondella elastica e rondella piana,2,MY22 MY22.5
2109016-Y01,Relè 50A,1,MY22 MY22.5
Q174B0818T1F,Bullone esagonale esterno M8*18 con rondella elastica e rondella piana,2,MY22 MY22.5
2109113-Y01,Cablaggio comunicazione scatola alta tensione,1,MY22
2103000-Y01,Assieme motore di trazione,1,MY22
2103010-Y01,Motore (7.5KW),1,MY22 MY22.5
Q1841255,Bullone esagonale con flangia,4,MY22 MY22.5
Q401B12,Rondella piana,4,MY22 MY22.5
2103020-Y01,Piastra pressacavo linea di fase,1,MY22 MY22.5
2105000-Y01,Assieme cablaggio alta tensione,1,MY22
2105010-Y01,Cablaggio positivo controller motore,1,MY22 MY22.5
2105020-Y01,Cablaggio negativo controller motore,1,MY22 MY22.5
2105030-Y01,Cablaggio alta tensione sistema ausiliario,1,MY22
2105040-Y01,Clip doppio tubo (Ø34),2,MY22 MY22.5
2105050-Y01,Cablaggio commutazione interruttore power?off,1,MY22 MY22.5
2107000-Y01,Sistema di ricarica,1,MY22
2107010-Y01,Caricatore di bordo (OBC),1,MY22
Q1460820,Bullone M8*20 con rondella elastica e rondella piana,4,MY22 MY22.5
2107020-Y01,Presa di ricarica standard europea,1,MY22
2110000-Y01,Assieme convertitore DCDC,1,MY22
2110010-Y01,Convertitore DCDC,1,MY22
2108000-Y01,Assieme VCU,1,MY22
2108010-Y01,Unità controllo veicolo,1,MY22
2108010Y0201,Unità controllo veicolo (versione ENI),1,MY22
2142000-Y01,Assieme unità controllo motore,1,MY22
2142010-Y01,Assieme controller motore,1,MY22 MY22.5
3600000-Y01,Unità elettronica veicolo,1,MY22
3601010-Y01,Modulo controllo carrozzeria (BCM),1,MY22
3601010Y0200,Modulo controllo carrozzeria (BCM),1,MY22
3601010Y0201,Modulo controllo carrozzeria (BCM) (versione ENI),1,MY22
3700000-Y01,Equipaggiamento elettrico veicolo,1,MY22
3704010-Y01,Interruttore avvio passivo,1,MY22 MY22.5
3721010-Y01,Clacson alta tonalità,1,MY22 MY22.5
Q1860630,Bullone esagonale con flangia M6*30,1,MY22 MY22.5
3774010-Y01,Assieme interruttore combinato,1,MY22 MY22.5
3778010-Y01,Blocco volante,1,MY22
3781010-Y01,Interruttore marce,1,MY22
3781010-Y01-A,Interruttore marce (senza posizione S),1,MY22
3790010-Y01,Cilindro serratura porta sinistra,1,MY22 MY22.5
3791010-Y01,Telecomando,2,MY22 MY22.5
3791010Y0201,Telecomando (versione ENI),1,MY22
3791020-Y01,Interruttore PE (con antenna),1,MY22 MY22.5
3721020-Y01,Allarme bassa velocità (AVAS),1,MY22 MY22.5
ST0205,Vite autofilettante a croce M2*5,2,MY22
3820000-Y01,Assieme schermo centrale,1,MY22
3820010-Y01,Schermo centrale (7 pollici),1,MY22 MY22.5
3820020Y0202,Schermo centrale (7 pollici),1,MY22
3820000Y0201,Assieme schermo centrale (versione ENI),1,MY22
3820010Y0201,Schermo centrale (7 pollici) (versione ENI),1,MY22
3820020Y0203,Schermo centrale (7 pollici) (versione ENI),1,MY22
3820012-Y01,Supporto telefono,1,MY22 MY22.5
4000000-Y01,Assieme cablaggio bassa tensione,1,MY22
4002010-Y01,Cablaggio vano anteriore,1,MY22
4002010Y0201,Assieme cablaggio vano anteriore (versione ENI),1,MY22
4002020-Y01,Assieme cablaggio tetto,1,MY22 MY22.5
4002020Y0200,Assieme cablaggio tetto (versione Hall),1,MY22 MY22.5
4002030-Y01,Assieme cablaggio porta sinistra,1,MY22 MY22.5
4002030Y0200,Assieme cablaggio porta sinistra (versione Hall),1,MY22 MY22.5
4002040-Y01,Assieme cablaggio porta destra,1,MY22 MY22.5
4002040Y0200,Assieme cablaggio porta destra (versione Hall),1,MY22 MY22.5
4003010-Y01,Assieme cablaggio principale,1,MY22
4003010Y0200,Assieme cablaggio principale (versione Hall),1,MY22 MY22.5
4003010Y0201,Assieme cablaggio principale (versione Hall) (versione ENI),1,MY22
4003020-Y01,Assieme cablaggio cruscotto ausiliario,1,MY22
4013010-Y01,Assieme cablaggio portellone,1,MY22 MY22.5
4013020-Y01,Assieme cablaggio paraurti posteriore,1,MY22 MY22.5
4013020Y0201,Assieme cablaggio paraurti posteriore (versione ENI),1,MY22
5200000-Y01,Sistema tergicristallo e lavavetri,1,MY22
5205010-Y01,Motore tergicristallo,1,MY22
Q1860635,Bulloni esagonali con flangia M6*35,2,MY22 MY22.5
8100000-Y01,Sistema climatizzazione,1,MY22
8103010-Y01,Assieme compressore elettrico,1,MY22
8103020-Y01,Unità controllo compressore,1,MY22
8105010-Y01,Assieme condensatore,1,MY22
8107010Y0205,Assieme HVAC,1,MY22 MY22.5
8108010Y0101,Tubo aspirazione compressore (EU filler),1,MY22
8108020-Y01,Tubo scarico compressore,1,MY22
8108030Y0101,Tubo ingresso fluido serbatoio evaporazione,1,MY22
8112010-Y01,Assieme pannello controllo climatizzatore,1,MY22
Q1460625,Bullone testa esagonale con rondella elastica e rondella piana,4,MY22 MY22.5
7900000-Y01,Dispositivo comunicazione informazioni,1,MY22
7903010-Y01,Antenna avvio,1,MY22 MY22.5
7911010-Y01,Altoparlante,1,MY22 MY22.5
7925030-Y01,USB cruscotto,1,MY22 MY22.5
2901000-Y01,Sospensione anteriore,1,MY22
Q1841050TF61,Bulloni flangiati,8,MY22
Q32010,Dado esagonale con flangia,2,MY22 MY22.5
2906100-Y01,Assieme barra stabilizzatrice,1,MY22 MY22.5
2906107-Y01,Rondella grande Ø16,2,MY22 MY22.5
Q1461030,Bullone testa esagonale con rondella elastica e rondella piana,4,MY22 MY22.5
2904101-Y01,Assieme ammortizzatore anteriore sinistro,1,MY22 MY22.5
2904102-Y01,Assieme ammortizzatore anteriore destro,1,MY22 MY22.5
2911000-Y01,Sospensione posteriore,1,MY22
2912135-Y01,Rondella anello di ritegno,1,MY22
2912100-Y01,Assieme asse di trasmissione posteriore,1,MY22 MY22.5
2912111-Y01,Tubo asse,1,MY22 MY22.5
2912112-Y01,Assieme riduttore principale,1,MY22 MY22.5
2912166-Y01,Rondella tenuta motore,1,MY22 MY22.5
2912119-Y01,Tappo riempimento dado,1,MY22 MY22.5
2912132-Y01,Guarnizione tappo riempimento,1,MY22
2912120-Y01,Tappo scarico dado,1,MY22 MY22.5
2912133-Y01,Guarnizione tappo scarico,2,MY22
2912126-Y01,Paraolio albero ingresso,1,MY22 MY22.5
2914300-Y01,Assieme barra di spinta,2,MY22 MY22.5
Q1851020,Bullone esagonale con flangia,2,MY22 MY22.5
2912017-Y01,Staffa montaggio motore,1,MY22 MY22.5
S18606004,Bullone esagonale con flangia,2,MY22 MY22.5
2915100-Y01,Ammortizzatore posteriore,2,MY22 MY22.5
2912011-Y01,Molla elicoidale posteriore,2,MY22 MY22.5
2914200-Y01,Barra bilanciamento posteriore,1,MY22 MY22.5
3100000-Y01,Sistema ruote,1,MY22
3100109-Y01,Pneumatico invernale (155/65-R14),1,MY22 MY22.5
"3100110-Y01,Cerchio in alluminio 15"",4,MY22 MY22.5"
