Part Number,Part Name,Model
6107111Y0210,Seal strip front left door opening,MY23 MY24
6107112Y0210,Seal strip front right door opening,MY23 MY24
6107113Y0210,Upper seal strip front left door opening,MY23 MY24
6107114Y0210,Upper seal strip front right door opening,MY23 MY24
6107115Y0210,Joint angle front mud groove left door,MY23 MY24
6107116Y0210,Joint angle front mud groove right door,MY23 MY24
5206011Y0210,Sealing strip front windshield,MY23 MY24
5701211Y0210,Sealing strip sunroof-left,MY23
5701212Y0210,Sealing strip sunroof-right,MY23
6107131Y0210,Sealing strip front triangle window-left,MY23 MY24
6107132Y0210,Sealing strip front triangle window-right,MY23 MY24
6107135Y0210,Sealing strip battery box,MY23 MY24
6107137Y0210,Sealing washer. roof,MY23 MY22 MY22.5 MY24
6309110-Y01,Air spring,MY23 MY22 MY22.5
6309101-Y01,Mounting bracket pneumatic stay bar tailgate- left,MY23 MY22 MY22.5
6309102-Y01,Mounting bracket pneumatic stay bar tailgate- right,MY23 MY22 MY22.5
6309103-Y01,Ball stud air spring,MY23 MY22 MY22.5
6900100Y0210-Z001,Front left seat assembly,MY23 MY22
6900200Y0210-Z001,Front right seat assembly,MY23 MY22
6900300Y0210,Trim cover seat bracket-left,MY23 MY22 MY24
6900400Y0210,Trim cover seat bracket-right,MY23 MY22 MY24
S18510002,Hexagon bolt with flange,MY23 MY24
8200101-Y01,Lifter rubber block,MY23 MY22 MY22.5 MY24
S40210001,Large gasket,MY23 MY22 MY22.5
8200105Y0210,Front overflow pipe,MY23 MY22 MY22.5 MY24
S67325001,Steel strap elastic hoop,MY23 MY22 MY22.5 MY24
ZDJ155 6.4,Fastener ties ?7,MY23
8201010-Y01,Inner rear-view mirror,MY23 MY22 MY22.5
8202010Y0210D,Left outer rear-view mirror assy,MY23 MY24
8202011Y0210D,Left exterior rear-view mirror assy,MY23 MY24
8202012Y0210,Left exterior rear-view mirror lens assy,MY23 MY22 MY22.5 MY24
8202020Y0210D,Right outer rear-view mirror assy,MY23 MY24
8202021Y0210D,Right exterior rear-view mirror assy,MY23 MY24
8202022Y0210,Right exterior rear-view mirror lens ass,MY23 MY22 MY22.5 MY24
S23606002,Cross recessed pan head screw plain washer and spring washer assy,MY23
8204010Y0205,Sun visor assembly,MY23 MY22 MY22.5
8204020Y0205,Base cover plate sunvisor,MY23 MY22 MY22.5 MY24
S21406001,Cross recessed pan-headed screw,MY23 MY22 MY24
8208010-Y01,Rear left retroreflector,MY23 MY22 MY22.5
8208020-Y01,Rear right retroreflector,MY23 MY22 MY22.5
8208030-Y01,Side retroreflector,MY23 MY22 MY22.5 MY24
5010010Y0210,Body-in-white frame assy,MY23
5101210Y0210,Framework assy front compartment,MY23
5101170Y0210,Frame assy intermediate floor,MY23
5101230Y0210,Frame assy rear floor,MY23
5101130-Y01,Support assy - left front suspension spring,MY23 MY22 MY22.5
5101140-Y01,Support assy - right front suspension spring,MY23 MY22 MY22.5
5301000Y0210,Front wall assy,MY23
5101750Y0210,Seat assy,MY23
5101940-Y01,Rear floor assy,MY23 MY22 MY22.5
5601111-Y01,Outer plate assy rear wall,MY23
5401350-Y01,Inner panel component left A-pillar,MY23 MY22 MY22.5 MY24
5401360-Y01,Inner panel component right A-pillar,MY23 MY22 MY22.5 MY24
5401230-Y01,Inner panel assy left doorsill,MY23 MY22 MY22.5 MY24
5401240-Y01,Inner panel assy right doorsill,MY23 MY22 MY22.5
5401030-Y01,Inner panel assy doorsill left side wall,MY23 MY22 MY22.5 MY24
5401040-Y01,Inner panel assy doorsill right side wall,MY23 MY22 MY22.5 MY24
5401010-Y01,Left side wall assy,MY23 MY22 MY22.5
5401020-Y01,Right side wall assy,MY23 MY22 MY22.5
5701010-Y01,Roof cover assy,MY23 MY22 MY22.5
5101270Y0205,Two-in-one mounting bracket assy,MY23 MY22.5
5101273Y0210,Mounting bracket condenser,MY23
5101901-Y01,Access panel,MY23 MY22 MY22.5
5306147-Y01,Sponge bar (W12*8),MY23
5301811-Y01,Tie rod battery,MY23 MY22 MY22.5
5301813-Y01,Pressing plate,MY23 MY22 MY22.5
5101467-Y01,Mounting plate power-off Switch,MY23 MY22 MY22.5
5103520-Y01,Intermediate mounting bracket assy rear bumper,MY23 MY22 MY22.5
5101187Y0210,Component MCU mounting bracket I,MY23 MY24
5101191Y0210,Component MCU mounting bracket II,MY23 MY24
6101100Y0210,Front left door assy,MY23 MY24
6106010Y0210,Upper hinge side door,MY23 MY24
6106030Y0210,Lower hinge side door,MY23 MY24
S18608010,Hexagon bolt with flange,MY23 MY22 MY22.5 MY24
6101200Y0210,Front right door assy,MY23 MY24
6301591-Y01,Mounting plate tailgate lock,MY23 MY22 MY22.5
6301552-Y01,Right mounting plate buffer block tailgate,MY23 MY22 MY22.5
6301551-Y01,Left mounting plate buffer block tailgate,MY23 MY22 MY22.5
6306310Y0205,Tailgate hinge,MY23 MY22.5
6301711-Y01,Upper crossbeam assy inner frame tailgate,MY23
5401170-Y01,Mounting bracket component left tubular beam,MY23 MY22 MY22.5 MY24
5401180-Y01,Mounting bracket component right tubular beam,MY23 MY22 MY22.5 MY24
5133990Y0211,Rear crossbeam power battery box,MY23 MY24
S18510003,Hexagon head bolt with flange,MY23 MY24
5133910Y0210,Welding assy power battery body,MY23
5133992Y0210,Front cover plate power battery box,MY23
S14604001,Hexagon head bolt spring washer and plain washer assy,MY23 MY24
5301710Y0210,Cross beam body assy dashboard,MY23
5301710Y0211,Cross beam body assy dashboard,MY23 MY24
5109101Y0210,Carpet body,MY23
5109103-Y01,Trunk cover plate,MY23 MY22 MY22.5
5109104-Y01,Cushion block trunk cover plate,MY23 MY22 MY22.5
5109109-Y01,Cushion block 2 trunk cover plate,MY23 MY22 MY22.5
5109105-Y01,Footrest pad,MY23 MY22 MY22.5
5305011-Y01,Auxiliary dashboard body,MY23 MY22 MY22.5
5305016-Y01,Lower front cover plate auxiliary dashboard body,MY23 MY22 MY22.5
5305017-Y01D,Auxiliary dashboard panel,MY23 MY22 MY22.5
5305019-Y01,Rear cover plate auxiliary dashboard body,MY23 MY22 MY22.5
5305020-Y01,Handrail framework assy,MY23 MY22 MY22.5
5305028-Y01D,Left trim panel handrail,MY23 MY22
5305029-Y01D,Right trim panel handrail,MY23 MY22
5305027-Y01,Bottom cover plate handrail,MY23 MY22 MY22.5
5305033-Y01,Male fastener handrail lock mechanism,MY23 MY22
5305012-Y01,Screw cap,MY23 MY22 MY22.5 MY24
5305032-Y01,Female fastener handrail lock mechanism,MY23 MY22 MY22.5
5305013Y0220,Rubber pad 1,MY23 MY22 MY22.5
5305014Y0220,Rubber pad 2,MY23 MY22 MY22.5
5305015Y0220,Rubber pad 3,MY23 MY22 MY22.5
5305031-Y01,Handrail hinge,MY23 MY22 MY22.5
5306151-Y01D,Instrument mask,MY23 MY22 MY22.5
5306139-Y01,Right air vent,MY23 MY22 MY22.5
5306161-Y01,Control panel A/C remote control,MY23 MY22 MY22.5 MY24
5306200Y0205D,Center air outlet assy,MY23 MY22 MY22.5 MY24
5306100Y0210,Upper body welding assy dashboard,MY23
5306121-Y01,Left defroster air vent,MY23 MY22 MY22.5 MY24
5306123-Y01,Left defroster air deflector,MY23 MY22 MY22.5 MY24
5306122-Y01,Right defroster air vent,MY23 MY22 MY22.5 MY24
5306124-Y01,Right defroster air deflector,MY23 MY22 MY22.5 MY24
5306134-Y01,Storage box dashboard,MY23 MY22 MY22.5
5306133-Y01,Lower body dashboard,MY23 MY22 MY22.5
5306102-Y01,Speaker cover,MY23 MY22 MY22.5
3774011Y0210,Steering shield-upper,MY23 MY24
3774013Y0210,Steering shield-lower,MY23 MY24
5402031-Y01,Upper guard panel left inner A-pillar side wall,MY23 MY22 MY22.5 MY24
5402041-Y01,Upper guard panel right inner A-column side wall,MY23 MY22 MY22.5 MY24
5402131-Y01,Guard panel front inner window trim side wall,MY23 MY22 MY22.5 MY24
5402051-Y01,Lower guard panel left inner A-columnside wall,MY23 MY22 MY22.5 MY24
5402053-Y01,Lower repair opening cap left A-column,MY23 MY22 MY22.5 MY24
5402061-Y01,Lower guard panel right inner A-columnside wall,MY23 MY22 MY22.5 MY24
5402063-Y01,Lower repair opening cap right A-column,MY23 MY22 MY22.5 MY24
5402011-Y01,Guard panel inside front left wall side wall,MY23 MY22 MY22.5
5402021Y0210,Guard panel inside front right wall side wall,MY23 MY24
ZH1506,Plastic V-fastener,MY23 MY24
5402111-Y01,Trim strip inside left doorsill side wall,MY23 MY22 MY22.5 MY24
5402121-Y01,Trim strip inside right doorsill side wall,MY23 MY22 MY22.5 MY24
5402071-Y01,Guard panel inside rear left wall side wall,MY23 MY22 MY22.5 MY24
5402081-Y01,Guard panel inside rear right wall side wall,MY23 MY22 MY22.5 MY24
5402141-Y01,Guard panel inside rear doorsill,MY23 MY22 MY22.5 MY24
5402091-Y01,Inside rear left lower guard panel side wall,MY23 MY22 MY22.5 MY24
5402101-Y01,Inside rear right lower guard panel side wall,MY23 MY22 MY22.5 MY24
5402128-Y01,Left service opening cover plate,MY23 MY22 MY22.5 MY24
5402129-Y01,Right service opening cover plate,MY23 MY22 MY22.5 MY24
5402133-Y01,Left footrest,MY23 MY22 MY22.5
5402147-Y01,Screw cap,MY23 MY22 MY22.5
5703011-Y01,Roof ceiling interior,MY23 MY22 MY22.5
ZH1610,Roof ceiling buckle,MY23 MY22 MY22.5 MY24
5703021-Y01,Service opening cap left hinge tailgate,MY23 MY22 MY22.5
5703022-Y01,Service opening cap right hinge tailgate,MY23 MY22 MY22.5
6102011Y0210,Left door inner panel,MY23 MY24
6102032-Y01,Mounting plate left pull strap,MY23 MY22 MY22.5 MY24
6102033-Y01,Leather pull strap door,MY23 MY22 MY22.5 MY24
6102031-Y01D,Intermediate left trim panel,MY23 MY22 MY22.5
ZH850,C-shaped buckle,MY23 MY22 MY22.5 MY24
6102072Y0210,Inner trim panel front left guide rail,MY23 MY24
6102021Y0210,right door Inner panel,MY23
6102042-Y01,Mounting plate right pull strap,MY23 MY22 MY22.5 MY24
6102041-Y01D,Intermediate right trim panel,MY23 MY22 MY22.5
6102082Y0210,Right door front guide rail innter trim panel,MY23 MY24
6102086-Y01,Trim cover upper hinge left door,MY23 MY22 MY22.5 MY24
6102089-Y01,Trim cover upper hinge right door,MY23 MY22 MY22.5 MY24
6102087-Y01,Trim cover lower hinge left door,MY23 MY22 MY22.5 MY24
6102088-Y01,Trim cover lower hinge right door,MY23 MY22 MY22.5 MY24
6302011-Y01,Tailgate,MY23 MY22 MY22.5
6302016-Y01,Trim panel lock cap,MY23 MY22 MY22.5
6302021-Y01,Tailgate glass support plate-left,MY23 MY22 MY22.5
6302022-Y01,Tailgate glass support plate-right,MY23 MY22 MY22.5
6302015-Y01,Lock cap service opening,MY23 MY22 MY22.5
6302017-Y01D,Upper plate spoiler shield,MY23 MY22 MY22.5
5306149Y0210,Double faced adhesive tape- (W10mm T0.5mm),MY23 MY22 MY22.5
6302018-Y01D,Lower panel spoiler shield,MY23 MY22 MY22.5 MY24
5107001-Y01,Tailgate buffer block,MY23 MY22 MY22.5
8200110-Y01,Rear carrier assy,MY23 MY22
8200111-Y01,Rear carrier,MY23 MY22 MY22.5 MY24
8200113-Y01,Base plate left hinge,MY23 MY22 MY22.5 MY24
8200114-Y01,Inner plate left hinge,MY23 MY22 MY22.5 MY24
8200115-Y01,Base plate right hinge,MY23 MY22 MY22.5 MY24
8200116-Y01,Inner panel right hinge,MY23 MY22 MY22.5 MY24
8200117-Y01,Limiting block rear carrier,MY23 MY22 MY22.5 MY24
1108001-Y01,Acceleration System,MY22
1108010-Y01,Electrical accelerator pedal,MY22 MY22.5
Q1860625,Hexagon bolt with flange,MY22 MY22.5
2101000-Y01,Power battery assy,MY22
2101000-Y0201,Power Battery Assy (with battery lock) (ENI customized version),MY22
2101010-Y01,Power battery box,MY22
2101010Y0201,Power battery box,MY22
2101013-Y01,Anti-friction bushing,MY22 MY22.5
2101017-Y01,Anti-theft bolt battery box,MY22 MY22.5
2101018-Y01,Cover plate battery box,MY22 MY22.5
2101018Y0201,Cover plate battery box (with battery lock? (ENI customized version),MY22
2101019-Y01,Battery positive wire harness,MY22 MY22.5
210101A-Y01,Battery negative wiring harness,MY22
210101C-Y01,Battery box communication wiring harness,MY22
Q174B0614T1F,M6*14-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
Q174B0425T1F,M4* 25- 304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
Q174B0410T1F,M4*10-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
5306142-Y01,Sponge strip (W12* T5)                  ,MY22 MY22.5
Q1461025,M10 25 Cross recessed hexagon bolt with indentation single coil lock washer and plain washer assemblies,MY22
2101020-Y01,Power battery module,MY22
2101011-Y01,Battery sampling unit? BSU?,MY22
2109013-Y01,Left mounting bracket BSU        ,MY22
2109014-Y01,Right mounting bracket BSU,MY22
2101030-Y01,Switching mode special socket ,MY22
2101030Y0201,Battery box assy (ENI customized version),MY22
Q174B0530T1F,M5*30-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22
Q174B0310T1F,M3*10-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22
2109010-Y01,Control box power system (formerly HV box),MY22
2109011-Y01,HV box casing,MY22 MY22.5
2109211-Y01,HV box cover,MY22 MY22.5
2109012-Y01,Current sensor,MY22
Q174B0416T1F,M4*16-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
Q304B04,Outer hexagonal nut,MY22 MY22.5
2101012-Y01,HV sampling case,MY22
Q174B0414T1F,M4* 14- 304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
Q32004,Hexagon nut with flange,MY22 MY22.5
2109015-Y01,150A relay,MY22 MY22.5
Q174B0620T1F,M6* 20- 304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
2109016-Y01,50A relay,MY22 MY22.5
Q174B0818T1F,M8*18-304 Cross recessed outer hexagonal bolt single coil lock washer and plain washer assemblies,MY22 MY22.5
2109113-Y01,Communications wiring harness high-voltage box,MY22
2103000-Y01,Drive Motor Assembly,MY22
2103010-Y01,Motor (7.5KW),MY22 MY22.5
Q1841255,Hexagon bolt with flange,MY22 MY22.5
Q401B12,Plain washer,MY22 MY22.5
2103020-Y01,Phase line pressing plate,MY22 MY22.5
2105000-Y01,High-Voltage Wiring Harness Assy,MY22
2105010-Y01,Positive wiring harness motor controller,MY22 MY22.5
2105020-Y01,Negative wiring harness motor controller,MY22 MY22.5
2105030-Y01,High voltage wiring harness auxiliary system,MY22
2105040-Y01,Double-pipe clamping piece (?34),MY22 MY22.5
2105050-Y01,Change-over wiring harness power-off switch,MY22 MY22.5
2107000-Y01,Charging system,MY22
2107010-Y01,On-Board Charger(OBC),MY22
Q1460820,Hex bolt spring washer and plain washer assy M8 20,MY22 MY22.5
2107020-Y01,European standard charging socket,MY22
2110000-Y01,DCDC Converter assy,MY22
2110010-Y01,DCDC converter,MY22
2108000-Y01,VBU assembly,MY22
2108010-Y01,Vehicle control unit,MY22
2108010Y0201,Vehicle control unit (ENI customized version),MY22
2142000-Y01,Motor control unit assy,MY22
2142010-Y01,Motor controller assembly,MY22 MY22.5
3600000-Y01,Vehicle electronic Unit,MY22
3601010-Y01,Body control module?BCM?,MY22
3601010Y0200,Body control module?BCM?,MY22
3601010Y0201,Body control module (BCM) (ENI customized version),MY22
3700000-Y01,Vehicle Electrical Equipment,MY22
3704010-Y01,Passive start switch,MY22 MY22.5
3721010-Y01,High pitch horn,MY22 MY22.5
Q1860630,Hexagon bolts with flange M6 30,MY22 MY22.5
3774010-Y01,Combination switch assembly,MY22 MY22.5
3778010-Y01,Steering wheel lock,MY22
3781010-Y01,Shift switch,MY22
3781010-Y01-A,Shift switch (without S position),MY22
3790010-Y01,Lock cylinder left door,MY22 MY22.5
3791010-Y01,Remote control,MY22 MY22.5
3791010Y0201,Remote control (ENI customized version),MY22
3791020-Y01,PE switch (with antenna),MY22 MY22.5
3721020-Y01,low speed alarm (AVAS),MY22 MY22.5
ST0205,Cross-recessed tapping screw M2*5,MY22
3820000-Y01,Center screen assembly,MY22
3820010-Y01,Central screen (7inch),MY22 MY22.5
3820020Y0202,Central screen (7inch),MY22
3820000Y0201,Central screen Assy (ENI customized version),MY22
3820010Y0201,Central screen (7inch) (ENI customized version),MY22
3820020Y0203,Central screen (7inch) (ENI customized version),MY22
3820012-Y01,Phone holder,MY22 MY22.5
4000000-Y01,Low-voltage Wiring Harness Assy,MY22
4002010-Y01,Front compartment wiring harness,MY22
4002010Y0201,Front compartment wiring harness assy (ENI customized version),MY22
4002020-Y01,Roof ceiling wiring harness assy,MY22 MY22.5
4002020Y0200,roof wiring harness assembly hall version,MY22 MY22.5
4002030-Y01,Left door wiring harness assy,MY22 MY22.5
4002030Y0200,Left door wiring harness assy (Hall version),MY22 MY22.5
4002040-Y01,Right door wiring harness assy,MY22 MY22.5
4002040Y0200,Right door wiring harness assy (Hall version),MY22 MY22.5
4003010-Y01,Main wiring harness assy,MY22
4003010Y0200,Main wiring harness assy (Hall version),MY22 MY22.5
4003010Y0201,Main wiring harness assy (Hall version) (ENI customized version),MY22
4003020-Y01,Auxiliary dashboard wiring harness assy,MY22
4013010-Y01,Tailgate wiring harness assy,MY22 MY22.5
4013020-Y01,Rear bumper harness assembly,MY22 MY22.5
4013020Y0201,Wiring harness assy rear bumper (ENI customized version),MY22
5200000-Y01,Wiper and Washer System,MY22
5205010-Y01,Wiper motor,MY22
Q1860635,Hexagon bolts with flange M6X35,MY22 MY22.5
8100000-Y01,Air conditioning system,MY22
8103010-Y01,Electric compressor assembly,MY22
8103020-Y01,Compressor control unit,MY22
8105010-Y01,Condenser assembly,MY22
8107010Y0205,HVAC assembly,MY22 MY22.5
8108010Y0101,Compressor suction pipe (EU filler),MY22
8108020-Y01,Compressor exhaust pipe,MY22
8108030Y0101,Fluid inlet pipe evaporation tank,MY22
8112010-Y01,Air conditioning control panel assembly,MY22
Q1460625,Hexagon bolt spring washer and plain washer assy,MY22 MY22.5
7900000-Y01,Information Communication Device,MY22
7903010-Y01,start antenna,MY22 MY22.5
7911010-Y01,Speaker,MY22 MY22.5
7925030-Y01,USB assy dashboard,MY22 MY22.5
2901000-Y01,Front Suspension,MY22
Q1841050TF61,Flange bolts,MY22
Q32010,Hexagon nut with flange,MY22 MY22.5
2906100-Y01,Stabilizer assembly,MY22 MY22.5
2906107-Y01,?16 large gasket,MY22 MY22.5
Q1461030,Hexagon head bolt spring washer and plain washer assy,MY22 MY22.5
2904101-Y01,Front left shock absorber assembly,MY22 MY22.5
2904102-Y01,Front right shock absorber assembly,MY22 MY22.5
2911000-Y01,Rear suspension,MY22
2912135-Y01,Retaining ring gasket,MY22
2912100-Y01,Rear drive axle assy,MY22 MY22.5
2912111-Y01,Axle tube,MY22 MY22.5
2912112-Y01,Main reducer assembly,MY22 MY22.5
2912166-Y01,Sealing washer motor,MY22 MY22.5
2912119-Y01,Nut filler plug,MY22 MY22.5
2912132-Y01,Gasket filler plug,MY22
2912120-Y01,Nut?drain plug,MY22 MY22.5
2912133-Y01,Gasket drain plug,MY22
2912126-Y01,Oil seal input shaft,MY22 MY22.5
2914300-Y01,Thrust rod assy,MY22 MY22.5
Q1851020,Hexagon bolt with flange,MY22 MY22.5
2912017-Y01,Mounting bracket motor ,MY22 MY22.5
S18606004,Hexagon bolt with flange,MY22 MY22.5
2915100-Y01,Rear shock absorber,MY22 MY22.5
2912011-Y01,Rear coil spring,MY22 MY22.5
2914200-Y01,Rear balance bar,MY22 MY22.5
3100000-Y01,Wheeling System,MY22
3100109-Y01,Winter tire (155/65-R14),MY22 MY22.5
3100110-Y01,"15"" aluminum wheel assembly",MY22 MY22.5
3100111-Y01,Tire (155/60-R15),MY22 MY22.5
3100112-Y01,All season tire (155/60-R15),MY22 MY22.5
3100105-Y01,"15"" aluminum wheel",MY22 MY22.5 MY24
3100113-Y01TR413,Cycle valve,MY22 MY22.5
3106106Y0240,Wheel nut (steel wheel),MY22 MY22.5 MY24
3400000-Y01,Steering  system ,MY22
Q1841050,Hexagon bolt with flange,MY22 MY22.5
3400114-Y01,dust cover,MY22 MY22.5
3500000-Y01,Brake System,MY22
3508100-Y01,Parking control mechanism assembly,MY22 MY22.5
3508102-Y01,Front section parking cable,MY22 MY22.5
3508103-Y01,Rear left parking cable,MY22 MY22.5
3508104-Y01,Rear right parking cable,MY22 MY22.5
3506048-Y01,Spring retainer ring parking cable,MY22 MY22.5
3540102-Y01,Vacuum tank assy,MY22 MY22.5
3540121-Y01,Vacuum tank,MY22 MY22.5
3540122-Y01,Seal plug,MY22 MY22.5
3540123-Y01,Controller assembly,MY22 MY22.5
3540124-Y01,Silicone hose (655),MY22 MY22.5
3540125-Y01,Hose clamp,MY22 MY22.5
Q67405100,Plastic cable tie,MY22
3540103-Y01,Electronic vacuum pump assy,MY22 MY22.5
3540131-Y01,Vacuum pump,MY22 MY22.5
3540132-Y01,Shock-absorbing sleeve,MY22 MY22.5
3540133-Y01,Rubber hose 90 5mm,MY22 MY22.5
3540134-Y01,Filter,MY22 MY22.5
3540135-Y01,Rubber hose 115 5mm,MY22 MY22.5
3540136-Y01,Tee-junction,MY22 MY22.5
3540101-Y01,Vacuum booster with brake master cylinder ,MY22 MY22.5
3540111-Y01,Vacuum booster,MY22 MY22.5
3540113-Y01,Oiler,MY22 MY22.5
3540114-Y01,Fluid reservoir cap,MY22 MY22.5
3506105-Y01,Spring retainer ring brake hose,MY22 MY22.5
3506106-Y01,Hollow Bolt,MY22 MY22.5
3506112-Y01,rear brake hose,MY22 MY22.5
3504101-Y01,Brake pedal assy,MY22 MY22.5
3506109-Y01,Front left brake pipe,MY22 MY22.5
3506111-Y01,Front right brake pipe,MY22 MY22.5
3506114-Y01,Front section rear right brake pipe,MY22 MY22.5
3506121-Y01,Rear section rear right brake pipe,MY22 MY22.5
3506115-Y01,Front section rear left brake pipe,MY22 MY22.5
3506122-Y01,Rear section rear left brake pipe,MY22 MY22.5
3506101-Y01,Master cylinder to ABS pipe,MY22 MY22.5
3506107-Y01,Copper washer,MY22 MY22.5
Q1860816,Hexagon flange bolt,MY22
3506104-Y01,Front brake hose,MY22 MY22.5
5010010-Y01,Body-in-white frame assy,MY22
5101210-Y01,Framework assy front compartment,MY22
5101170-Y01,Frame assy intermediate floor,MY22 MY22.5
5101230-Y01,Frame assy rear floor ,MY22 MY22.5
5301000-Y01,Front wall assy,MY22
5101750-Y01,Seat cask assy,MY22 MY22.5
5601110-Y01,Outer plate assy rear wall,MY22 MY22.5
5101900-Y01,Access panel assembly,MY22
5101903-Y01,Sealing rubber strip access panel,MY22 MY22.5
5101273-Y01,Mounting bracket condenser,MY22 MY22.5
6101010-Y01,Left door welding assy,MY22 MY22.5
6101020-Y01,Right door welding assy,MY22 MY22.5
6106010-Y01,Upper hinge side door,MY22 MY22.5
6106030-Y01,Lower hinge side door,MY22 MY22.5
6301710-Y01,Upper crossbeam assy inner frame tailgate,MY22 MY22.5
6306310-Y01,Tailgate hinge,MY22
Q2734812,Cross-recessed half-round large head self-tapping screw,MY22 MY22.5
5101263-Y01,Mounting bracket rear brake hose- Left,MY22 MY22.5
5101264-Y01,Mounting bracket rear brake hose- Right,MY22 MY22.5
5101216-Y01,Mounting bracket low speed alarm,MY22 MY22.5
5301700-Y01,Dashboard Cross Beam Assy,MY22
5301710-Y01,Cross beam body assy dashboard,MY22 MY22.5
ZH2204-21,A-type reed nut,MY22 MY22.5
5107000-Y01,Blanking Element System,MY22
5107011-Y01,?10 blanking cap,MY22 MY22.5 MY24
5107016-Y01,?15 blanking cap,MY22 MY22.5 MY24
5107013-Y01,?20 blanking cap,MY22 MY22.5 MY24
5107015-Y01,?30 blanking cap,MY22 MY22.5 MY24
5107014-Y01,?40 blanking cap,MY22 MY22.5 MY24
5107017-Y01,PET hole sticker ?20,MY22 MY22.5
5107018-Y01,PET hole sticker ?25,MY22 MY22.5
5107019-Y01,PET hole sticker ?30,MY22 MY22.5
3400105-Y01,Steering column bushing,MY22 MY22.5
5107021-Y01,40*40 m3 Square tubing plug,MY22 MY22.5
6309100-Y01,Tailgate Stay Bar System,MY22
6101000-Y01,Guide rail rubber coating assembly,MY22
6101760-Y01,Rubber coating assy front guide rail left door,MY22 MY22.5
6101740-Y01,Rubber coating assy front guide rail right door,MY22 MY22.5
6101730-Y01,Rubber coating assy rear guide rail left door,MY22 MY22.5
6107133-Y01,Mounting block of rear triangular window-Left,MY22 MY22.5
6101750-Y01,Rubber coating assy rear guide rail right door,MY22 MY22.5
6107134-Y01,Mounting block of rear triangular window- Right,MY22 MY22.5
6105000-Y01,Locking Mechanism System,MY22
6105100-Y01,Electronic controlling lock left door,MY22 MY22.5
6105101-Y01,Electronic controlling lock body left door,MY22 MY22.5
6105103-Y01,Pull rod electronic controlling lockleft door,MY22 MY22.5
6105105-Y01,Pull rod electronic controlling lock cylinder left door,MY22 MY22.5
6105111-Y01,Electronic controlling lock cable left door,MY22 MY22.5
Q2400614,Cross recessed countersunk head screw and countersunk external toothed lock washer,MY22 MY22.5
Q2580816,Cross recessed countersunk head screw and countersunk external toothed lock washer,MY22 MY22.5
6105200-Y01,Electronic controlling lock system right door,MY22 MY22.5
6105102-Y01,Electronic controlling lock body right door,MY22 MY22.5
6105104-Y01,Pull rod electronic controlling lock right door,MY22 MY22.5
6105112-Y01,Electronic controlling lock cable right door,MY22 MY22.5
5606010-Y01,Electric lock system tailgate,MY22 MY22.5
5606030-Y01,Pull-out system front charging port cover,MY22 MY22.5
157-00135(HTC),Cable ties stud,MY22 MY22.5
6107000-Y01,Sealing system,MY22
6307111-Y01,Sealing strip. tailgate,MY22 MY22.5
6107117-Y01,Outer weather strip left door glass,MY22 MY22.5
6107118-Y01,Outer weather strip right door glass,MY22 MY22.5
6107121-Y01,Inner weather strip left door glass,MY22 MY22.5
6107122-Y01,Inner weather strip right door glass,MY22 MY22.5
6107111-Y01,Seal strip front left door opening,MY22 MY22.5
6107112-Y01,Seal strip front right door opening,MY22 MY22.5
5206011-Y01,Sealing strip front windshield,MY22 MY22.5
5701211-Y01,Sealing strip sunroof-left,MY22 MY22.5
5701212-Y01,Sealing strip sunroof-right,MY22 MY22.5
6107131-Y01,Sealing strip front triangle window-left,MY22 MY22.5
6107132-Y01,Sealing strip front triangle window-right,MY22 MY22.5
6107135-Y01,Upper sealing strip battery box,MY22 MY22.5
6107136-Y01,Lower sealing strip battery box,MY22 MY22.5
6107115-Y01,Front mud groove left door,MY22 MY22.5
6107127-Y01,Rear mud groove left door,MY22 MY22.5
6107116-Y01,Mud groove front right door,MY22 MY22.5
6107128-Y01,Mud groove rear right door,MY22 MY22.5
6104000-Y01,Glass Regulator System,MY22
6104110-Y01,Electric window regulator assy left door (Hall type),MY22 MY22.5
6104110-Y01-A,Electric window regulator assy left door (non-Hall),MY22
6104120-Y01,Electric window regulator assy right door (Hall type),MY22 MY22.5
6104120-Y01-A,Electric window regulator assy right door (non-Hall),MY22
6105500-Y01,Outer Handle System,MY22
8202000-Y01,Outer Rear-view Mirror System,MY22
8202010-Y01D,Left outer rear-view mirror assy,MY22 MY22.5
8202011-Y01D,Left exterior rear-view mirror assy,MY22 MY22.5
8202020-Y01D,Right outer rear-view mirror assy,MY22 MY22.5
8202021-Y01D,Right exterior rear-view mirror assy,MY22 MY22.5
2804200-Y01,Rear Bumper Hinge System,MY22
2804201-Y01,Rear bumper hinge assy-left,MY22 MY22.5
2804202-Y01,Front bumper hinge assy-Right,MY22 MY22.5
